dateOfLoss,baseFloodElevation,lowestFloorElevation,causeOfDamage,floodRisk,precipitation
2/18/1981,7,8,4,0,13.46
2/24/1981,7,23,4,0,7.02
3/14/1981,11,14,4,0,22.54
5/4/1981,55,56,1,1,27.24
5/4/1981,14,14,1,1,27.24
5/4/1981,105,106,4,1,27.24
5/4/1981,40,43,1,1,27.24
5/4/1981,26,27,4,1,27.24
5/4/1981,16,18.5,4,1,27.24
5/4/1981,31,33.7,4,1,27.24
5/4/1981,10,13,1,1,27.24
5/4/1981,16,17,4,1,27.24
5/4/1981,71,80,1,1,27.24
5/4/1981,71,83,4,1,27.24
5/4/1981,71,87,1,1,27.24
5/4/1981,71,91,4,1,27.24
5/4/1981,71,92,4,1,27.24
5/4/1981,11,3,4,1,27.24
5/4/1981,,35,4,1,27.24
5/4/1981,,35,1,1,27.24
5/4/1981,55,57,1,1,27.24
5/4/1981,33,33,4,1,27.24
5/4/1981,1,2,4,1,27.24
5/4/1981,74,91,1,1,27.24
5/4/1981,15,16,1,1,27.24
5/4/1981,49,50,4,1,27.24
5/4/1981,56,59,4,1,27.24
5/4/1981,11,13,4,1,27.24
5/4/1981,33,33,4,1,27.24
5/4/1981,14,14,1,1,27.24
5/4/1981,10,22,1,1,27.24
5/4/1981,,5,1,1,27.24
5/4/1981,18,20,4,1,27.24
5/4/1981,15,16,1,1,27.24
5/4/1981,,999,4,1,27.24
5/4/1981,,11,4,1,27.24
5/4/1981,18,23,1,1,27.24
5/4/1981,36,34,1,1,27.24
5/4/1981,0,13,4,1,27.24
5/4/1981,8,18,1,1,27.24
5/4/1981,0,0,1,1,27.24
5/4/1981,29,24,1,1,27.24
5/4/1981,0,0,1,1,27.24
5/5/1981,49,50,1,0,27.24
5/8/1981,,504.1,1,0,27.24
5/16/1981,1,1,1,0,24.34
5/26/1981,12,16,4,0,36.92
6/4/1981,5,10,4,0,23.72
6/5/1981,1,1,1,0,23.72
8/10/1981,12,14,4,0,25.44
8/14/1981,8,15,4,0,22.04
8/15/1981,8,8,4,1,22.04
8/16/1981,7,8,1,1,22.04
8/16/1981,11,11,4,1,22.04
8/17/1981,11,11,4,1,22.04
8/17/1981,11,12,4,1,22.04
8/17/1981,8,9,4,1,22.04
8/17/1981,7,8,4,1,22.04
8/17/1981,14,17,1,1,22.04
8/17/1981,11,12,4,1,22.04
8/17/1981,13,18,4,1,22.04
8/17/1981,8,8,4,1,22.04
8/17/1981,7,8,4,1,22.04
8/17/1981,11,12,4,1,22.04
8/17/1981,11,11,4,1,22.04
8/17/1981,0,0,4,1,22.04
8/17/1981,11,11,4,1,22.04
8/17/1981,7,9,1,1,22.04
8/17/1981,8,10,4,1,22.04
8/17/1981,8,12.7,4,1,22.04
8/17/1981,7,9,4,1,22.04
8/17/1981,10,11.8,4,1,22.04
8/17/1981,11,11,1,1,22.04
8/17/1981,6,10,4,1,22.04
8/17/1981,7,9,1,1,22.04
8/17/1981,6,9,4,1,22.04
8/17/1981,10,12,1,1,22.04
8/17/1981,10,12,1,1,22.04
8/17/1981,9,9.7,4,1,22.04
8/17/1981,10,12,1,1,22.04
8/17/1981,8,9,4,1,22.04
8/17/1981,10,14,4,1,22.04
8/17/1981,8,10,4,1,22.04
8/17/1981,7,8,4,1,22.04
8/17/1981,7,8,4,1,22.04
8/17/1981,9,10,4,1,22.04
8/17/1981,7,8,4,1,22.04
8/17/1981,8,9,4,1,22.04
8/17/1981,7,9,1,1,22.04
8/17/1981,6,6,1,1,22.04
8/17/1981,8,9,4,1,22.04
8/17/1981,10,12,4,1,22.04
8/17/1981,11,13,4,1,22.04
8/17/1981,11,12,4,1,22.04
8/17/1981,11,11,4,1,22.04
8/17/1981,8,10,1,1,22.04
8/17/1981,8,10,4,1,22.04
8/17/1981,7,8,1,1,22.04
8/17/1981,11,14,4,1,22.04
8/17/1981,7,8,4,1,22.04
8/17/1981,7,8,4,1,22.04
8/17/1981,10,13,4,1,22.04
8/17/1981,7,8,4,1,22.04
8/17/1981,7,11,4,1,22.04
8/17/1981,11,12,4,1,22.04
8/17/1981,10,11,4,1,22.04
8/17/1981,9,10,1,1,22.04
8/17/1981,11,12,4,1,22.04
8/17/1981,11,11.8,4,1,22.04
8/17/1981,6,8,4,1,22.04
8/17/1981,7,9,4,1,22.04
8/17/1981,6,7,4,1,22.04
8/17/1981,11,12,4,1,22.04
8/17/1981,7,11,4,1,22.04
8/17/1981,7,9,4,1,22.04
8/17/1981,10,12,1,1,22.04
8/17/1981,7,8,1,1,22.04
8/17/1981,10,12,4,1,22.04
8/17/1981,7,9,4,1,22.04
8/17/1981,11,13,4,1,22.04
8/17/1981,8,9,4,1,22.04
8/17/1981,6,8,4,1,22.04
8/17/1981,7,8,4,1,22.04
8/17/1981,11,12,1,1,22.04
8/17/1981,16,18,4,1,22.04
8/18/1981,7,10,4,1,22.04
8/19/1981,9,9,4,0,22.04
8/19/1981,9,12,4,0,22.04
